sample-id	control_status	species	sample_type
A16	sample	species_A	wood
A16B	sample	species_A	bark
A16S	sample	species_A	soil
A19	sample	species_A	wood
A19B	sample	species_A	bark
A19S	sample	species_A	soil
B10	sample	species_B	wood
B10B	sample	species_B	bark
B10S	sample	species_B	soil
B6	sample	species_B	wood
B6B	sample	species_B	bark
B6S	sample	species_B	soil
A1	control	NA	NA
A2	control	NA	NA
