# Constructed from biom file
#OTU ID	A1	A16	A16B	A16S	A19	A19B	A19S	A2	B10	B10B	B10S	B6	B6B	B6S
81efe4fbaa000e9ffe1d14ceb59fce8e	66263.0	45103.0	99226.0	60.0	6899.0	115979.0	51.0	24375.0	48039.0	56637.0	3554.0	59192.0	69388.0	12988.0
688fbcacf4e3b8d6745aafc53ce8217e	25698.0	145.0	858.0	0.0	196.0	16332.0	0.0	7564.0	29.0	138.0	4407.0	586.0	10799.0	3193.0
a4eed81c043c0d8105750fc34bfe2737	716.0	137.0	1816.0	0.0	706.0	4141.0	0.0	5338.0	48.0	102.0	2324.0	130.0	2232.0	525.0
7a8a867f4c3e946731abd15ec55a8701	1313.0	10065.0	421.0	0.0	180.0	2690.0	0.0	741.0	0.0	0.0	0.0	188.0	2335.0	33.0
827aa55c7243599253166c7246778d21	0.0	0.0	301.0	0.0	0.0	200.0	0.0	0.0	7445.0	45.0	21.0	4595.0	0.0	0.0
b21a42361a6923b8c62efc04375967a8	337.0	28.0	1136.0	0.0	11.0	2667.0	0.0	5842.0	44.0	93.0	273.0	21.0	702.0	436.0
73c926cf795ed7168aaf14124aedb345	836.0	4119.0	130.0	0.0	71.0	1253.0	0.0	49.0	0.0	13.0	0.0	0.0	535.0	0.0
eb4c673b1652d8f6c32b0efb2e6f15b6	494.0	2475.0	0.0	0.0	112.0	1267.0	0.0	216.0	0.0	0.0	0.0	55.0	252.0	0.0
0e6d98419641ff528a43cfd20982d5a5	94.0	33.0	0.0	0.0	4188.0	178.0	0.0	0.0	0.0	0.0	0.0	32.0	18.0	0.0
675b67c3559e426886a4c759c2cb2cca	90.0	3832.0	48.0	0.0	147.0	199.0	0.0	0.0	0.0	0.0	0.0	58.0	159.0	0.0
15f83b3fae52b8232ec85994ac2a2c3a	0.0	0.0	0.0	0.0	4282.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0
57a0c2ec5d50875272367d2976e02eea	55.0	1225.0	0.0	0.0	2716.0	42.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0
d0e52e8bece87ad96af38bd8efc4c1ec	106.0	578.0	57.0	0.0	2040.0	960.0	0.0	0.0	0.0	0.0	0.0	29.0	132.0	0.0
fee082a7ffd0bf2f093c32ffa5a9460c	65.0	0.0	164.0	0.0	2436.0	760.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9f49a7ef1cd53684bfdcef0cc2dccc61	0.0	0.0	113.0	0.0	2728.0	239.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0
6ffa429d9d82984d167c4efa2ab1f28d	365.0	0.0	209.0	0.0	0.0	1107.0	0.0	933.0	0.0	10.0	164.0	0.0	154.0	124.0
5a76d1fa9a354308071cb4db4c62db07	57.0	503.0	69.0	0.0	1725.0	230.0	0.0	0.0	0.0	0.0	0.0	35.0	251.0	0.0
8697cea6e560b07ed8127033ad2d9261	72.0	1987.0	0.0	0.0	216.0	116.0	0.0	331.0	0.0	0.0	0.0	51.0	28.0	0.0
1899a3a1767267707180ea2191562955	284.0	0.0	912.0	0.0	0.0	0.0	0.0	286.0	0.0	503.0	0.0	0.0	732.0	0.0
02a99c357b4eb3d9a4db066076e69c0a	0.0	0.0	0.0	0.0	2515.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0
