Domain	Phylum	Class	Order	Family	Genus	Species	A1	A16	A16B	A16S	A19	A19B	A19S	A2	B10	B10B	B10S	B6	B6B	B6S
bdaf2fac58993844d2a226d01c549989	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	0	0	0	0	0	0	0	501	0	0	0	0	0	0
737bf7368a9969bdea4f1fd56634ad8f	Bacteria	Cyanobacteriota	Chloroplast	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	501	0	0	0	0
238d5885e4bc4845dd86b165852dcfa0	Bacteria	Cyanobacteriota	Chloroplast	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	494	0	0	0	0	0	0	0	0	0
48191f62e8dee939b00ea9d73a823859	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	0	0	0	0	0	0	0	493	0	0	0	0	0	0
4fb2578757c6a434713ea49a580c803e	Bacteria	Bacillota_I	Bacilli_A	Lactobacillales	Streptococcaceae	Streptococcus	Unassigned	0	0	0	0	0	488	0	0	0	0	0	0	0	0
be832d7bc7e1005726b9d2a16c1012c1	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	479	0	0	0	0	0	0	0	0	0	0	0
fab057eba3a75c7caa8530302cb23fdb	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	478	0	0	0	0	0	0
489147e9d2ae8fd674f50d4e9bcb5756	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	478	0	0	0	0	0	0
9636aa335c8bfa4e8c3511f750776eed	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	473	0	0	0	0	0	0
f486ce5232ef0caf37242c0563e320f7	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	471	0	0	0	0	0	0	0	0	0	0	0
53250ebcdcd825e5e5a39310edbcdf77	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	SURF-56	Unassigned	0	0	0	471	0	0	0	0	0	0	0	0	0	0
d5c478480144f8ed0ae953287f728ad0	Bacteria	Bacillota_A_368345	Clostridia_258483	Clostridiales	Clostridiaceae_222000	Clostridium_T	Clostridium_T saccharoperbutylacetonicum	0	0	0	0	0	463	0	0	0	0	0	0	0	0
3cc03bf7d5a3d1fb1ccff16eab2985cd	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	462	0	0	0	0	0	0	0	0
79025f53e81d2046a59a819014ef184c	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	39	59	234	0	0	0	0	0	0	65	0	63	0	0
52566635d95f65fad20f05dafdfb045b	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	459	0	0	0	0	0	0	0	0
d5937a885c6fc9ea5beb43a617e1f9cd	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Rhodococcus_376336	Unassigned	28	402	0	0	0	0	0	0	9	0	0	14	0	0
939871a198c583b335eb5f72e5be3be9	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	453	0	0	0	0	0	0	0	0
8bed769e555e49f4b957fa85b5dd80ec	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	451	0	0	0	0	0	0	0	0	0	0	0
0870bed41ac1ea603eebf1c526071328	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Luteibacter	Luteibacter sp000745055	0	0	0	0	0	448	0	0	0	0	0	0	0	0
660ec56a470d72aa9f6d2b3bbe3b5e0f	Bacteria	Bacteroidota	UBA10030	UBA10030	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	442	0	0	0	0	0	0	0
f4176df9d9af83bb5fb7599cee87ed84	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	0	0	0	0	0	0	0	434	0	0	0	0	0	0
fadc5bf48ce911681ba11c9cd1e173ff	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	434	0	0	0	0	0	0
34f6acabb17b75e44117eb9c58b53c5c	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	433	0	0	0	0	0	0	0	0	0	0	0
7d071151e94db70588335c2c3cbc899f	Bacteria	Bacillota_A_368345	Clostridia_258483	Eubacteriales	Anaerofustaceae	Anaerofustis	Unassigned	0	0	0	0	0	432	0	0	0	0	0	0	0	0
ca27b563bcf066731cb700e6d1349b6b	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	426	0	0	0	0	0	0	0	0
09d0e69ada6e9b9204bec775988ec553	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	0	0	420	0	0	0	0	0	0	0	0	0	0	0
aac4dd95d48bc83b5f157a2126d821a2	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	0	0	0	0	0	0	0	418	0	0	0	0	0	0
eedf783fb4707ac0aa440a7696c1ae79	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	0	0	0	0	0	0	0	417	0	0	0	0	0	0
d7d08ec62f786c29cb177c2ac89b0e49	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Microbacteriaceae	Unassigned	Unassigned	0	0	0	0	0	0	0	416	0	0	0	0	0	0
8b14c3c7bda81d2f173f0bcf27f1d7ee	Bacteria	Pseudomonadota	Alphaproteobacteria	Micropepsales	Micropepsaceae	Micropepsis	Micropepsis pineolensis	0	0	0	0	408	0	0	0	0	0	0	0	0	0
b169eb9bb7ace36e641fffed6ba0f2cf	Bacteria	Pseudomonadota	Alphaproteobacteria	Azospirillales_507929	Azospirillaceae_507917	Unassigned	Unassigned	0	0	0	0	0	407	0	0	0	0	0	0	0	0
e9772f91f7644fbbb3f7a8bd2fbc5cd8	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales_505101	Rhizobiaceae	Ensifer_A_499891	Ensifer_A_499891 adhaerens	0	0	0	0	0	404	0	0	0	0	0	0	0	0
fd6c125532be8ef1690356a06dee60da	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	401	0	0	0	0	0	0	0	0
b8c50e025ac3de2dbca687d59bf72837	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	400	0	0	0	0	0	0	0	0	0	0	0
00d811aef14f2f7da920983f70922811	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Micrococcaceae	Rothia	Rothia mucilaginosa	0	0	0	0	0	400	0	0	0	0	0	0	0	0
1be7728d124d64a41cd6f276c094a5ab	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	395	0	0	0	0	0	0	0	0
ed9debd76b71bdfbda58c259cd59d993	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanosyncoccaceae	Nanosyncoccus	Nanosyncoccus sp007845165	0	0	0	0	0	0	0	391	0	0	0	0	0	0
f500da08b5f923b8b1fa9b2265dbff49	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	0	0	389	0	0	0	0	0	0	0	0	0	0	0
d89e2a4119c3f6ad9784fdfcda0613c2	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	0	0	0	0	0	0	0	387	0	0	0	0	0	0
c08bf19c15485df16b193ffc6bf8f9d3	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	387	0
cc5043a2400d66457a7f92bcb8011332	Bacteria	Bacillota_A_368345	Clostridia_258483	Lachnospirales	Lachnospiraceae	Anaerobutyricum	Anaerobutyricum hallii	110	0	0	0	0	276	0	0	0	0	0	0	0	0
d4944259e367713c739130b7ab8f59bc	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	384	0	0	0	0	0	0	0	0
93a0dfed9b2d9fb677d33bafeabb54ad	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	382	0	0	0	0	0	0	0	0
a25acf2b7ffc02090059593c1e8f732c	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	0	0	0	0	0	382	0	0	0	0	0	0	0	0
07e9f0a82d10fa1191d49dfb94c7ef7b	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Microbacteriaceae	Unassigned	Unassigned	0	0	0	0	0	377	0	0	0	0	0	0	0	0
5b7ca6c82c5d69a0657239ca1e542455	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	257	0	117	0	0	0	0	0	0
d7cc083d86f929780ea047dd4b7818d1	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	374	0
9ca6a708e4fdf31d338a17c0bd08b466	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	370	0	0	0	0	0	0	0	0
2163d0614b2c249ac4f998ccc670caf8	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	370	0	0	0	0	0	0	0	0
099ab4d62f8ce274c8b69ffc1083f381	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	37	0	0	0	0	330	0	0	0	0	0	0	0	0
fb33edb6a6b666caa1dcb1cfa7aff095	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	367	0	0	0	0	0	0
852da091eb430329b97b2029ee749060	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	364	0	0	0	0	0	0	0	0
24ddc91f7243c764fe4899c81cc5b999	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	364	0	0	0	0	0	0
69302a89780071bd43910ba32cf1f732	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Dermatophilaceae	Unassigned	Unassigned	18	244	0	0	0	0	0	0	0	0	0	97	0	0
98f8982ac614a64db682f5031c385add	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	358
a905683fcef5e4555cf4677d05cfe38a	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Unassigned	Unassigned	8	183	0	0	0	0	0	0	0	0	0	166	0	0
fc811a200057edad3d4a74648cf8bbd7	Bacteria	Patescibacteria	Paceibacteria	UBA9973	UBA2103	C7867-001	C7867-001 sp900299275	0	0	0	0	0	0	355	0	0	0	0	0	0	0
710e7fb2ee36a8682cff9369a417f9b3	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	354	0
89d5f3c8e639da583d4e5b8fa555ff1e	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	353	0	0	0	0	0	0	0	0
9942a6044ac91895c53e05946e98a460	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Microbacteriaceae	Unassigned	Unassigned	0	0	0	0	0	353	0	0	0	0	0	0	0	0
4aa8051aac539df8982a390f18f09678	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Tautonia	Tautonia sociabilis	0	0	0	0	0	0	0	0	0	353	0	0	0	0
72beb4cddb595e6dbe753a902397ac41	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	351	0	0	0	0	0	0
657f4b072ebf7e6f1a7bde944ea68456	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Terriglobus_A	Terriglobus_A saanensis	0	0	0	0	350	0	0	0	0	0	0	0	0	0
