#OTU ID	prev	p
75908f63babbaa7bb89671467bbdb6ff	14	0.5
096f9d81ad0717c25bd7572a015ed9b2	12	0.362637362637363
f83acfdc933382307df1c799938f587f	12	0.362637362637363
b23716615f517103e8e75ecf13da634a	6	0.846153846153846
d2a18db77384b9e8fd15c4c4ec07c527	5	0.357142857142857
1579455b2403a4097e95d81cfa4f3b25	7	0.5
39ca9bad17e45a57dcb2085ce9c0b063	1	
aa06a2b7ca8285c044ebc8aaec736527	6	0.0824175824175824
06f2db893dd2fadcab6e6af642f4a5f9	4	0.752747252747253
b85f438f8cfd1a0f98730246d14554e8	7	0.115384615384615
2df7c6b4653458a260719430343a705c	3	0.214285714285714
f59b9728ad78ec96240ee6c9ec5064d1	3	0.697802197802198
8de0b48402e2f95456aa0853b7b50994	8	0.153846153846154
aa3bf8170f4058f75ec3426d4a4638a9	5	0.357142857142857
204d0cd226f870091fe71e122348600a	10	0.247252747252747
e48f9f9056fc1c72be4f3b67b103c3a3	1	
fe8ec78e8898e69bfaf07eeabc80dcc2	3	0.697802197802198
64961623169d494dc7f5473dccfb0652	4	0.752747252747253
40d7c56fdf5faf3dbd13690cf82ff619	3	0.697802197802198
13851b7cc9d8f6494e209e0e8155ade8	5	0.802197802197802
b214c80a4653e3da3b407d9e906e494f	6	0.428571428571428
65b9880901d781e48fc2ce374081ed3b	4	0.752747252747253
8f6e30ad1c334cff90b85f3546463683	6	0.428571428571428
b1e48f4c23ba2af8f6b0b6c9ca53d897	5	0.802197802197802
7b18059a52c60ff6bf84eeccfbf30c94	6	0.846153846153846
63b33ac1ee0cd1bcb7221efd6113cd3c	6	0.428571428571428
b535c0ca5d2bb007e77e54def5384044	5	0.357142857142857
c297efd71f55c2e880b2baa346ee0e88	3	0.697802197802198
9be97049d186e255ac0c68d62f4c0dd8	2	0.637362637362638
c7ed222043938f3e39b066b9bdd486d9	4	0.752747252747253
5dce23e0e8929ad6815ca45d4ffba84b	3	0.697802197802198
bc8f07677d96ef99ba13b64a79de608b	1	
4364e13b6e17e970b8f3164327fbee16	4	0.285714285714286
3938192ec5a33ef666c5f284a7b349bf	5	0.0549450549450549
c342db5d7da83ee9700feaa852e808c2	3	0.697802197802198
2004d0b95765d59cf3488ec93fc1b1cc	6	0.846153846153846
fddfb0d4a3572f1eec6c26914eca35fe	3	0.214285714285714
f9a0496abdc78b7b746629cf75501af5	5	0.357142857142857
4e5cc90133bbe0dc7ae91e8a31e0c096	4	0.752747252747253
a3d3b4c1df7bca9af92ad1ca5a57a6e0	2	0.637362637362638
45aadcbb797df4ecb5521d73df223752	4	0.285714285714286
bb1fb8732b095f89379cad165a014552	4	0.285714285714286
54ad07be09fd4b06545dab68e85929f3	2	0.142857142857143
745d142f13f0f5663be765b5d92772f3	8	0.917582417582418
952d5ff5347dd7d81c99ffa97be8dca6	4	0.752747252747253
5441b55343078b07564573c289835e7b	2	0.637362637362638
071e89f5d488f8cbd73acad27a4d9716	1	
ea9f269167818eabdeb3fdc3e732abf4	5	0.802197802197802
92e61b559b91f7168c515bd5893f69d4	1	
550ab7e99121e663fc9cef8efcd527fb	5	0.802197802197802
f3a972fd61edb65060aa69e6cd92e782	5	0.357142857142857
2bdf19fb70d172a770e497221bf592a6	2	0.637362637362638
b691202860fd2056ac5028d6a74fe32f	6	0.846153846153846
e31df85d34e232d9ea9bfef4354f13be	2	0.637362637362638
a0487470a403c75dc6ac266870117541	2	0.637362637362638
1d80fd8a5441a7ae1819a0cfc24a7853	6	0.846153846153846
450a62ba1f80f35f375cfce437fdecb2	2	0.142857142857143
f72d8a533d8b70cb75be240035d8f67a	1	
183fbed3d8af8cb5179001acd540c153	4	0.752747252747253
9cc3f1de9a8fe974ac57e8b186b3885f	2	0.637362637362638
ae528d163a593ad2633fda08bb7cc477	4	0.752747252747253
f433095fc8fd407d75d1ce36d122abaa	2	0.142857142857143
9c904302de3b94d72359e101aefe1026	1	
170d36124ee6523ff2beb50a84991d2b	3	0.697802197802198
6c0469796c7c3c26f6155944616910cc	6	0.846153846153846
377c64fc3dc94b80ddda5330b02d7bfb	2	0.142857142857143
36364cda1a7b6389d06555a8661da697	1	
ab04e748a4bd1a207c83a9d2b8721870	3	0.697802197802198
818d0bef22ea6b2f25dc47d5c25247b4	2	0.637362637362638
c4d44e3c014e98ed5aa1fd307048578f	4	0.752747252747253
dae16d8d88a19739db727823d6294858	7	0.5
5aab0eb6ec41a33bd894c90d0216a16f	3	0.214285714285714
ad0896f5727715153c05111ec55c531a	4	0.752747252747253
bc18be1364f03ebc7c07355d691eae77	2	0.637362637362638
4408b90a0bdc1da48311f5e6a1820303	3	0.697802197802198
1effe5f60ff6e3b7ee6bcaa5c8274aaf	4	0.752747252747253
a035d4d6eaf8f2922866d1e91931f583	1	
c2eec005892ee2e154c371f97d80efca	3	0.697802197802198
aa143d49d6db1bc29aee2b0e7fdf4045	2	0.637362637362638
88a08fb4182cd150cdda27b3517c0866	4	0.752747252747253
1b5484203d1aeb418cdfaf0d410a2c20	3	0.697802197802198
b53163ddc001143a178bcb144bbe9b31	5	0.802197802197802
3c9a68fcca0d5c39cf784ada74cf16e6	3	0.697802197802198
6a588d63da83aa8bf2e4e13fbb427baa	1	
703d92223aa4143e2bf969443a5a0318	2	0.637362637362638
4c3307b7b100c7dfd19b1b53270f2bb7	5	0.802197802197802
5d59a5a709e05a292448b81695f77978	5	0.802197802197802
76be794cc68d9bace8fe04134be4f411	2	0.637362637362638
2a9716bbaa61e0104f7d187be14bd97d	3	0.697802197802198
94ef495c7a014d540ebf175e60414683	3	0.697802197802198
e4973ae2fd70d96b2ed62ec9620f78b3	1	
ee32bb4023b4149659fe046149daf5f9	1	
fa7ebc856f4184f9ed9b9ad647e997c3	2	0.637362637362638
ecfe9eb75bf3cd8aa8df934d9e2e3704	1	
bef958c90484c370c515ca1afa25c6a4	1	
5c6ec01302e40187281404748e0e91a1	1	
89f9a6217b73420f5804ed62d8d73b00	6	0.0824175824175824
542170b5ee8ba345294ce9e6d9c0510c	4	0.752747252747253
a704ec34e11c94c7f0a9ee891640851f	1	
c6180a46b76a3da4ae26027e8407347a	2	0.637362637362638
17f6119851be9b9cae90a19ce2ad87e4	2	0.637362637362638
880e3bd764e2f8f30cdfc34264d75fbc	2	0.637362637362638
4bf59bb2f52f3171a5e889e304bb4ab1	2	0.637362637362638
ca3666c2eccc26ef306af8f58b13f67f	1	
608ef03f85d01cdd1c5e2491afe74e67	5	0.802197802197802
7e9a41149b69767356a778621af8b2a1	2	0.637362637362638
cb7503725a40992fdf6e08f32a000bd2	4	0.752747252747253
5ab5ab995fe79f936147e3ac70198389	1	
c088e0ff7bf99e33f428f1190da74695	1	
21d63043c762dfbaedd0bfc5a1caae98	1	
5b4ea2b4cff1fe7f13861a8dffe191bc	3	0.697802197802198
b4649eabf8c6800153e5f0cbc726000c	3	0.697802197802198
4d6e83b3becc388894a61d9e94f6f409	2	0.142857142857143
2af0996314fb49fc73c163aa11acfb30	2	0.142857142857143
a9967112d4cce49354c1ac32c56c0504	2	0.637362637362638
2380871f707063ed16b524624961f424	3	0.697802197802198
3addfd49948b0cffe30de7933bc89dbc	3	0.214285714285714
43b012ca4398fcba5f505963e83ee90a	3	0.697802197802198
bbc7919d46876dada2da8598a324c4c2	2	0.637362637362638
3f390547346d5f4ed455c9155fcde6d3	1	
7a3c80b91d73fd69a142ef8aa1c029d9	1	
61b2143a8e41320e410c97bdacb90cc9	1	
31bb766decb33256c981be311cba6282	5	0.357142857142857
c8a5442f99eed831e0d4976ea20de87b	1	
2a2d2e1a4c13c280aa1e6f87575246e5	2	0.637362637362638
